"RepName","GapHeight","Subject","Behavior","Join","Leave","tstart_j","tstop_j","tstart_l","tstop_l","maxSliceR","Extend","SliceR_start_j","SliceR_stop_j","SliceR_start_l","SliceR_stop_l","gaplength_j","gaplength_latency","gaplength_l","latency_tojoin","traf_join_down","traf_join_up","time_spent","traf_leave_down","traf_leave_up"
"35_S11_T4","35","A14","ChainBottom",0,0,128.233,138.73,NA,NA,4178,0,2837,3089,NA,NA,20.391302055336,20.391302055336,NA,10.497,0,0.0952653138992094,NA,NA,NA
"35_S11_T4","35","A14","Extension",0,0,128.233,138.73,NA,NA,4178,0,2837,3089,NA,NA,20.391302055336,20.391302055336,NA,10.497,0,0.0952653138992094,NA,NA,NA
"35_S11_T4","35","A15","Pausing",1,0,144.737,147.485,147.485,171.666666666667,4178,0,3233,3299,3299,3880,20.8618885074627,20.8618885074627,16.0496346391753,2.74800000000002,0.36390101892285,0,24.1816666666666,0.0827072851333656,0
"35_S11_T4","35","A15","Extension",1,0,144.737,147.485,NA,NA,4178,0,3233,3299,NA,NA,20.8618885074627,20.8618885074627,NA,2.74800000000002,0.36390101892285,0,NA,NA,NA
"35_S11_T4","35","A20","Pausing",1,0,145.735,147.234,147.234,171.666666666667,4178,0,3257,3293,3293,3880,20.9508235135135,20.9508235135135,16.100151122449,1.499,0,0,24.4326666666666,0.0818576223089307,0
"35_S11_T4","35","A20","Extension",1,0,145.735,147.234,NA,NA,4178,0,3257,3293,NA,NA,20.9508235135135,20.9508235135135,NA,1.499,0,0,NA,NA,NA
"35_S11_T4","35","A16","Pausing",1,0,151.313,168.234,168.234,184.04,4178,1,3391,3797,3797,4176,15.4571443734644,15.4571443734644,10.0130426315789,16.921,0.0590981620471603,0,15.806,0.126534227508541,0
"35_S11_T4","35","A16","Extension",1,0,151.313,153.484,153.484,159.983,4178,1,3391,3443,3443,3599,18.8489450943396,18.8489450943396,16.2921576433121,2.17100000000002,0,0,6.499,0,0
"35_S11_T4","35","A17","Pausing",1,0,160.981,176.234,176.234,184.04,4178,1,3623,3989,3989,4176,12.7053842234332,12.7053842234332,8.36233132978724,15.253,0.0655608732708319,0,7.80599999999998,0.128106584678453,0
"35_S11_T4","35","A17","Extension",1,0,160.981,167.982,167.982,176.234,4178,1,3623,3791,3791,3989,13.889339408284,13.889339408284,11.7086395477387,7.001,0,0,8.25200000000001,0.121182743577314,0
"35_S11_T4","35","A21","ChainBottom",0,0,174.483,184.04,NA,NA,4178,0,3947,4176,NA,NA,8.6460512173913,8.6460512173913,NA,9.55699999999999,0.104635345819818,0,NA,NA,NA
"35_S11_T4","35","A21","Extension",0,0,174.483,184.04,NA,NA,4178,0,3947,4176,NA,NA,8.6460512173913,8.6460512173913,NA,9.55699999999999,0.104635345819818,0,NA,NA,NA
"35_S11_T4","35","A18","ChainBottom",0,0,178.315,182.811,NA,NA,4178,0,4039,4147,NA,NA,8.30417486238532,8.30417486238532,NA,4.49600000000001,0,0,NA,NA,NA
"35_S11_T4","35","A18","Extension",0,0,178.315,182.811,NA,NA,4178,0,4039,4147,NA,NA,8.30417486238532,8.30417486238532,NA,4.49600000000001,0,0,NA,NA,NA
