"Rep","time","mintime","chainlength","gaplength","from","to","step","time_adj"
"Chain2",560,300,46.6949152542373,16.5677966101695,560,570,27,260
"Chain2",570,300,48.135593220339,15.1271186440678,570,580,28,270
"Chain2",580,300,46.3559322033898,16.793813559322,580,590,29,280
"Chain2",590,300,49.1525423728813,13.9972033898305,590,600,30,290
"Chain2",600,300,51.7796610169491,13.8559322033898,600,610,31,300
"Chain2",610,300,61.1016949152542,9.61864406779661,610,620,32,310
"Chain2",620,300,62.0338983050847,11.6243220338983,620,630,33,320
"Chain2",630,300,64.6610169491525,8.9406779661017,630,640,34,330
"Chain2",640,300,61.6101694915254,13.9124576271186,640,650,35,340
"Chain2",650,300,52.1186440677966,23.4039830508475,650,660,36,350
"Chain2",660,300,52.0338983050847,23.2627118644068,660,670,37,360
"Chain2",670,300,53.135593220339,22.3870338983051,670,680,38,370
"Chain2",680,300,57.8813559322034,17.0762711864407,680,690,39,380
"Chain2",690,300,62.5423728813559,12.8672033898305,690,700,40,390
"Chain2",700,300,59.406779661017,17.0197457627119,700,710,41,400
"Chain2",710,300,62.8813559322034,13.5451694915254,710,720,42,410
"Chain2",720,300,67.8813559322034,8.4322033898305,720,730,43,420
"Chain2",730,300,74.7457627118644,9.36440677966102,730,740,44,430
"Chain2",740,300,80.1694915254237,10.1553389830509,740,750,45,440
"Chain2",750,300,86.1864406779661,8.88415254237289,750,760,46,450
"Chain2",760,300,93.8135593220339,8.68644067796611,760,770,47,460
"Chain2",770,300,99.6610169491525,9.16669491525424,770,780,48,470
"Chain2",780,300,100.677966101695,14.0254237288136,780,790,49,480
"Chain2",790,300,98.9830508474576,16.3983050847458,790,800,50,490
"Chain2",800,300,96.4406779661017,19.0536440677966,800,810,51,500
"Chain2",810,300,98.5593220338983,16.935,810,820,52,510
"Chain2",820,300,95.9322033898305,19.4491525423729,820,830,53,520
"Chain2",830,300,95.4237288135593,20.070593220339,830,840,54,530
"Chain2",840,300,97.2881355932203,18.093220338983,840,850,55,540
"Chain2",850,300,99.6610169491525,15.6073728813559,850,860,56,550
"Chain2",860,300,102.542372881356,12.6129661016949,860,870,57,560
"Chain2",870,300,106.610169491525,11.4830508474576,870,880,58,570
"Chain2",880,300,107.033898305085,13.6582203389831,880,890,59,580
"Chain2",890,300,108.64406779661,12.1610169491525,890,900,60,590
"Chain3",0,0,22.5104069252605,17.2552200144,0,10,1,0
"Chain3",10,0,25.3242077909181,14.6069368467223,10,20,2,10
"Chain3",20,0,27.0621436197065,13.2000364138936,20,30,3,20
"Chain3",30,0,28.7173205995051,12.4552067729842,30,40,4,30
"Chain3",40,0,33.6828515389008,9.72416475631658,40,50,5,40
"Chain3",50,0,36.910446649508,12.2896890750043,50,60,6,50
"Chain3",60,0,34.8414754247598,14.3586602997526,60,70,7,60
"Chain3",70,0,42.703566078803,10.4689943972259,70,80,8,70
"Chain3",80,0,41.3794244949641,16.179354977531,80,90,9,80
"Chain3",90,0,41.4621833439541,16.2621138265209,90,100,10,90
"Chain3",100,0,43.2001191727426,14.4414191487425,100,110,11,100
"Chain3",110,0,43.862189964662,18.8276381452087,110,120,12,110
"Chain3",120,0,36.0000993106188,26.9380053462216,120,130,13,120
"Chain3",130,0,33.517333840921,29.0897354199598,130,140,14,130
"Chain3",140,0,32.1931922570821,30.6621535507684,140,150,15,140
"Chain3",150,0,36.4966524045584,26.4414522522821,150,160,16,150
"Chain3",160,0,32.0276745591022,31.0759477957181,160,170,17,160
"Chain3",170,0,35.0897519717296,28.0138703830907,170,180,18,170
"Chain3",180,0,37.8207939883972,25.365587215413,180,190,19,180
"Chain3",190,0,47.8346147161785,15.1034899406619,190,200,20,190
"Chain3",200,0,52.3863514106246,10.9655474911655,200,210,21,200
"Chain3",210,0,49.8208270919368,14.1103837527828,210,220,22,210
"Chain3",220,0,50.6484155818361,16.8414257694504,220,230,23,220
"Chain3",230,0,47.4208204712289,20.1517797290475,230,240,24,230
"Chain3",240,0,48.8277209040577,18.7448792962188,240,250,25,240
"Chain3",250,0,51.0622098267857,16.5931492224806,250,260,26,250
"Chain3",260,0,56.4415350111311,14.4414191487425,260,270,27,260
"Chain3",270,0,59.5036124237584,14.8552133936921,270,280,28,270
"Chain3",280,0,62.2346544404261,14.1931426017727,280,290,29,280
"Chain3",290,0,75.6415879767944,12.0414125280346,290,300,30,290
"Chain3",300,0,75.6415879767944,14.9379722426821,300,310,31,300
"Chain3",310,0,83.6691963288175,11.0483063401554,310,320,32,310
"Chain3",320,0,84.248508271747,15.7655607325813,320,330,33,320
"Chain3",330,0,90.7036984929614,12.2069302260144,330,340,34,330
"Chain3",340,0,95.9175059793269,9.4758882093468,340,350,35,340
"Chain3",350,0,92.6071520197297,13.4483129608634,350,360,36,350
"Chain3",360,0,99.5588953348837,9.31037051136693,360,370,37,360
